FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,ZONA,CLASE DE SITIO,CÓDIGO DANE,CLASE DE ARMA,PERMISO,CANTIDAD
01/01/2019 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Martes,RURAL,FINCAS Y SIMILARES,"5,002,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ANTIOQUIA,EL SANTUARIO,Martes,URBANA,VIAS PUBLICAS,"5,697,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ANTIOQUIA,LA ESTRELLA,Martes,URBANA,VIAS PUBLICAS,"5,380,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,URBANA,VIAS PUBLICAS,"5,001,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ANTIOQUIA,SEGOVIA,Martes,URBANA,VIAS PUBLICAS,"5,736,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,ANTIOQUIA,SONSON,Martes,RURAL,FINCAS Y SIMILARES,"5,756,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ANTIOQUIA,TARSO,Martes,RURAL,VIAS PUBLICAS,"5,792,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,URBANA,VIAS PUBLICAS,"8,001,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,URBANA,VIAS PUBLICAS,"8,001,000",ESCOPETA,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,URBANA,VIAS PUBLICAS,"8,001,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,SABANALARGA,Martes,URBANA,VIAS PUBLICAS,"8,638,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,ATLÁNTICO,SOLEDAD,Martes,URBANA,VIAS PUBLICAS,"8,758,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Martes,URBANA,VIAS PUBLICAS,"13,001,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Martes,URBANA,VIAS PUBLICAS,"13,001,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Martes,URBANA,VIAS PUBLICAS,"13,001,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,BOLÍVAR,EL GUAMO,Martes,URBANA,VIAS PUBLICAS,"13,248,000",ESCOPETA,SIN PERMISO,1
01/01/2019 12:00:00 AM,BOLÍVAR,SANTA ROSA DEL SUR,Martes,URBANA,VIAS PUBLICAS,"13,688,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,BOYACÁ,CHITA,Martes,URBANA,VIAS PUBLICAS,"15,183,000",ESCOPETA,SIN PERMISO,1
01/01/2019 12:00:00 AM,CALDAS,CHINCHINÁ,Martes,URBANA,VIAS PUBLICAS,"17,174,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,CALDAS,RIOSUCIO,Martes,RURAL,MINA,"17,614,000",PISTOLA,SIN PERMISO,1
01/01/2019 12:00:00 AM,CESAR,AGUACHICA,Martes,URBANA,VIAS PUBLICAS,"20,011,000",REVOLVER,SIN PERMISO,1
01/01/2019 12:00:00 AM,CESAR,SAN ALBERTO,Martes,URBANA,VIAS PUBLICAS,"20,710,000",REVOLVER,SIN PERMISO,1
